trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
21,0,21,0,45.93982920000008,46.94023749999997,46.94023749999997,down,0,0.13181729999996605,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
22,0,22,0,47.09025900000006,48.0906159000001,48.0906159000001,up,1,0.3058608999995158,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
23,0,23,0,48.424130700000205,49.424436400000104,49.424436400000104,down,0,0.4470849999997881,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
24,0,24,0,49.89139879999993,50.891767099999925,50.891767099999925,up,0,0.4478567999999541,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
25,0,25,0,51.358552000000145,52.35899130000007,52.35899130000007,up,0,0.04534229999944728,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
26,0,26,0,52.42574360000026,53.42603420000023,53.42603420000023,down,1,0.5204343999994308,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
27,0,27,0,53.97629349999988,54.97654550000016,54.97654550000016,down,1,0.3706616999998005,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
28,0,28,0,55.376755799999955,56.37711399999989,56.37711399999989,down,1,0.03105409999989206,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
29,0,29,0,56.42730970000002,57.42752430000019,57.42752430000019,up,1,0.2975064999995993,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
30,0,30,0,57.74434139999994,58.74472999999989,58.74472999999989,up,1,0.2289651999999478,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
31,0,31,0,58.99475549999988,59.995183400000315,59.995183400000315,down,0,0.2007432999998855,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
32,0,32,0,60.22866920000024,61.22903350000024,61.22903350000024,down,1,0.0410476999995808,None,-3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
33,0,33,0,61.29570629999989,62.29605010000023,62.29605010000023,down,1,0.197987899999589,None,-3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
34,0,34,0,62.512794700000086,63.51317610000024,63.51317610000024,down,1,0.2270498999996562,None,-3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
35,0,35,0,63.76336949999995,64.76385310000023,64.76385310000023,down,1,0.02012929999955304,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
36,0,36,0,64.81385499999988,65.81427389999999,65.81427389999999,down,1,0.21010749999959444,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
37,0,37,0,66.04775390000032,67.04779959999996,67.04779959999996,up,1,0.27699659999962023,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
38,0,38,0,67.34811730000001,68.34830390000025,68.34830390000025,down,1,0.06115669999962847,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
39,0,39,0,68.43174330000011,69.43203519999997,69.43203519999997,up,1,0.0393380999994406,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
40,0,40,0,69.49871940000003,70.4991556,70.4991556,up,0,0.17003239999939979,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
41,0,41,0,70.69936640000014,71.6995992000002,71.6995992000002,down,0,0.007881199999701494,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
42,0,42,0,71.73308840000027,72.73339540000006,72.73339540000006,down,1,0.08861549999983254,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
43,0,43,0,72.85013079999999,73.8503641000002,73.8503641000002,up,0,0.5177852999995594,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
44,0,44,0,74.4006631000002,75.40101129999994,75.40101129999994,up,0,0.20904010000003836,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
45,0,45,0,75.63442359999999,76.63478260000011,76.63478260000011,down,1,1.0195185999996283,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
46,0,46,0,77.68517030000021,78.68567800000028,78.68567800000028,up,0,0.23822699999982433,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
47,0,47,0,78.95234299999993,79.95278760000019,79.95278760000019,up,1,0.6376632999995309,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
48,0,48,0,80.61964750000016,81.62006680000013,81.62006680000013,up,0,0.45330669999975726,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
49,0,49,0,82.1036623,83.10389000000032,83.10389000000032,up,1,0.4508619999996881,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
50,0,50,0,83.58745120000003,84.58782950000023,84.58782950000023,up,0,0.49785739999970247,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
51,0,51,0,85.10469259999991,86.1050408000001,86.1050408000001,up,0,0.34502729999985604,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
52,0,52,0,86.47189810000009,87.47220460000017,87.47220460000017,up,1,0.4108445999995638,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
53,0,53,0,87.90584510000008,88.9061658999999,88.9061658999999,up,0,0.3017229999995834,None,2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
54,0,54,0,89.2396818000002,90.2400348000001,90.2400348000001,up,0,0.2583140999995521,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
55,0,55,0,90.52344640000001,91.52385790000017,91.52385790000017,up,1,0.15143309999939447,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
56,0,56,0,91.70732589999989,92.70758870000009,92.70758870000009,up,1,0.1069350999996459,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
57,0,57,0,92.84102310000026,93.84142629999997,93.84142629999997,up,0,0.03759009999976115,None,4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
58,0,58,0,93.90801259999989,94.90845910000007,94.90845910000007,up,0,0.08263049999959549,None,-3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
59,0,59,0,95.00853439999992,96.00882219999994,96.00882219999994,up,1,0.370620499999859,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
60,0,60,0,96.40896449999991,97.4093911,97.4093911,up,0,0.24850569999989602,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
61,0,61,0,97.67624100000012,98.67646800000011,98.67646800000011,up,0,0.11407999999983076,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
62,0,62,0,98.8099545,99.81031789999997,99.81031789999997,up,0,0.13319339999952717,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
63,0,63,0,99.96032910000031,100.96073650000017,100.96073650000017,up,0,0.05021339999984775,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
64,0,64,0,101.02750480000032,102.02782070000012,102.02782070000012,up,1,0.05200409999997646,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
65,0,65,0,102.11123720000023,103.11147560000018,103.11147560000018,up,1,0.02926759999991191,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
66,0,66,0,103.16160660000014,104.16203760000008,104.16203760000008,down,0,0.4794111999995039,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
67,0,67,0,104.6621812000003,105.66246290000026,105.66246290000026,down,0,0.30969929999946544,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
68,0,68,0,105.99597940000012,106.99642769999991,106.99642769999991,up,0,0.46874729999944975,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
69,0,69,0,107.49656210000012,108.49688670000023,108.49688670000023,up,0,0.12002859999938664,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
70,0,70,0,108.64703929999996,109.64732760000015,109.64732760000015,up,1,0.26109409999980926,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
71,0,71,0,109.93076070000006,110.93120829999998,110.93120829999998,up,1,0.10726429999931497,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
72,0,72,0,111.06451030000017,112.06492860000026,112.06492860000026,down,0,0.46725189999961003,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
73,0,73,0,112.56515889999991,113.5655299,113.5655299,up,0,0.38517759999967893,None,-1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
74,0,74,0,113.98236029999998,114.98284450000028,114.98284450000028,up,0,0.18378309999934572,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
